id_n,weight,Year,GROSS_INCOME,CONS_Food1,CONS_Food2,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other,'CONS_Food
1802,79.9,2015,497040,356.53,0,0,7899.999999600001,6166.799999999999,1699.1999999999998,156,19200,18000,12000,3600,0,61414.799999999996,130493.32999959998,130136.79999959999,4278.36
30006,84.14,2015,30977.425775999996,474.2277519,0,0,2900.0000004000003,600,0,0,0,480,0,3810.0001368000003,144,0,8408.227889,7934.000137200001,5690.733023
34914,90.49,2015,1745.65155,2270.9,0,0,30654.8,0,16462.800000000003,2262,0,480,0,4257.6,0,20730,77118.1,74847.20000400001,27250.800000000003
45111,133.74,2015,367565.3672,533.3,0,0,45228,140207.3869,10273.2,150,122199.99995999999,5760,5830,48,3099.59999,598.8,333928.28686999995,333394.98686999996,6399.599999999999
25613,91.67,2015,12736.932131999998,459.3607166,0,0,5000,3600,0,0,480,3600,0,0,1344,1746,16229.36072,15770,5512.328599
38615,112.16,2015,0,395.25,0,0,0,3600,1149.6,0,0,480,0,0,2424,2078.3999999999996,10127.25,9732,4743
8010,81.92,2015,307200,356.53,0,0,75200,437173.08408000006,0,344.00000004000003,225024,48720,22920,0,5208,200.00000004000003,815145.6140840801,814789.0840840801,4278.36
49207,68.2,2015,17653.079592000002,382.36,0,2118.768,1700,1200,672,0,0,1440,0,0,600,192,8305.128,7922.768,4588.32
12515,65.35,2015,2177.43219,390.18,0,0,1000,0,1210.8000000000002,0,5616,0,0,567.9999847199999,1608,0,10392.97998,10002.79998,4682.16
6807,78.01,2015,14425.599612000002,356.53,0,0,0,0,0,0,0,0,0,0,4152,0,4508.53,4152,4278.36
14905,103.82,2015,290477.7656,361.46,0,69666.81096,12000,54789.577571999995,9.600000000000001,6136,121187.00004000001,18240,3500.0000004000003,14670,16272,3600,320432.4485720001,320070.98857200006,4337.5199999999995
49210,68.2,2015,39600,382.36,0,0,2000,1560,8150.8,0,0,2880,0,0,0,5998.799999999999,20971.96,20589.6,4588.32
27213,93.23,2015,6775.786376399999,617.2069908,0,0,0,0,0,24,0,0,0,814.9999923600001,0,0,1456.2069831600002,838.9999923600001,7406.48389
