,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
current_law_All,1042.63,1266.68,1396.95,1536.65,1749.17,1941.75,2136.12,2383.27,2665.69,2981.57,3334.89
reform_All,1042.63,1266.68,1396.95,1536.65,1749.17,1941.75,2136.12,2383.27,2665.69,2981.57,3334.89
