,weight,CONS_Total,vatax,table_row
12156,1090.7787166663138,174564.4852323858,9205.869958672025,2
8899,3272.132160492847,174593.11605217916,6425.874990670262,2
8529,3272.1324122540395,174977.5218582907,7711.859423390159,2
5805,4547.623721098905,175160.70290293384,7920.2714406217765,2
9214,5442.816405570072,175408.90468967706,9762.718569522913,2
10912,4800.865898653466,176245.72076346737,6352.574722378151,2
1648,2307.802957351234,177052.44548052058,12595.820951835845,2
4723,7785.998859758548,177116.2616376169,9769.700115101152,2
7564,3272.132160492847,177481.87197994682,9344.139921866166,2
6014,1324.2290027865074,177806.81639168755,9312.011724649714,2
13119,2305.327641308141,177895.69794015586,2424.94387820504,2
12418,4800.865898653466,177979.0057913165,10982.767937428282,2
13121,2305.327641308141,178108.93633393562,2677.9449607072966,2
8932,3272.1324122540395,178670.9602266249,10254.93401293758,2
13118,2305.327641308141,178705.53345770927,2472.8676392776824,2
10384,5442.816405570072,178793.31960346975,17588.08342460639,2
6994,1324.229128667104,178819.50545578136,11381.110525082266,2
12439,4800.8665280564455,178923.8013966015,8958.1501491202,2
13565,517.7007819861022,179052.8298122844,2850.448549557683,2
11795,1079.7404360090336,180711.89238790207,7550.863022086189,2
2644,2950.22878939898,181095.84177621876,2882.794932378838,2
2461,3422.676164229016,181394.44640650915,10167.93727766445,2
10203,5442.816405570072,181522.42595620063,10034.907098148247,2
5811,4547.623721098905,181861.5139499623,4819.945531950167,2
2726,2950.229418801961,182010.46723973498,23661.360741165547,2
7200,3272.132160492847,182192.91984082593,8622.217418073822,2
2178,2950.229418801961,182494.12125493423,3147.9286530163367,2
13551,517.7007819861022,182514.81785247396,2955.9388373040383,2
11773,4800.865898653466,183104.69937010447,8270.17277738795,2
6753,1324.2290027865074,184262.0209688458,12453.85640293374,2
8793,814.1182794629115,184719.16366260193,10979.366409271546,2
9223,5442.816405570072,184816.52026306582,13141.263950473101,2
11560,4800.8665280564455,184834.84856981022,7584.844740917121,2
13122,2305.327641308141,185552.68099915297,2874.6808979096436,2
8822,3272.132160492847,185735.1265092135,8277.232337306494,2
10465,5442.816405570072,186473.9289953796,15129.754643058783,2
13114,2305.327641308141,186482.4631132075,2579.330043230974,2
11563,4800.8665280564455,186516.49219209666,8864.560839034211,2
1936,6939.214439708846,186550.90072421142,11057.253640604986,2
4668,7785.998859758548,187312.87859862682,11052.509687740949,2
9228,5442.816405570072,187541.81621082214,13885.867443142677,2
