,weight_2023,pitax_2023,total_income_2023,weight_2024,pitax_2024,total_income_2024,weight_2025,pitax_2025,total_income_2025,weight_2026,pitax_2026,total_income_2026,weight_2027,pitax_2027,total_income_2027,weight_ref_2027,pitax_ref_2027,total_income_ref_2027,weight_ref_2028,pitax_ref_2028,total_income_ref_2028,weight_ref_2029,pitax_ref_2029,total_income_ref_2029,weight_ref_2030,pitax_ref_2030,total_income_ref_2030,weight_ref_2031,pitax_ref_2031,total_income_ref_2031,weight_ref_2032,pitax_ref_2032,total_income_ref_2032,ETR,ETR_ref
85,"23,669.1468","7,750.0000","34,831.0000","21,085.4554","7,967.0000","34,752.0000","21,085.4554","9,060.0000","38,575.0000","21,085.4554","10,274.0000","42,818.0000","21,085.4554","11,634.0000","47,529.0000","21,085.4554","12,722.0000","47,529.0000","21,085.4554","14,479.0000","52,757.0000","21,085.4554","16,434.0000","58,560.0000","21,085.4554","18,610.0000","65,001.0000","21,085.4554","21,031.0000","72,152.0000","21,085.4554","23,726.0000","80,088.0000",0.2448,0.2677
86,"23,681.8244","8,244.0000","36,830.0000","21,096.7491","8,462.0000","36,747.0000","21,096.7491","9,610.0000","40,789.0000","21,096.7491","10,890.0000","45,276.0000","21,096.7491","12,331.0000","50,256.0000","21,096.7491","13,554.0000","50,256.0000","21,096.7491","15,410.0000","55,784.0000","21,096.7491","17,474.0000","61,920.0000","21,096.7491","19,772.0000","68,731.0000","21,096.7491","22,329.0000","76,292.0000","21,096.7491","25,177.0000","84,684.0000",0.2454,0.2697
87,"23,681.8244","8,862.0000","39,061.0000","21,096.7491","9,076.0000","38,973.0000","21,096.7491","10,292.0000","43,260.0000","21,096.7491","11,660.0000","48,019.0000","21,096.7491","13,191.0000","53,301.0000","21,096.7491","14,541.0000","53,301.0000","21,096.7491","16,505.0000","59,164.0000","21,096.7491","18,692.0000","65,672.0000","21,096.7491","21,127.0000","72,896.0000","21,096.7491","23,838.0000","80,915.0000","21,096.7491","26,857.0000","89,815.0000",0.2475,0.2728
88,"23,669.1468","9,672.0000","41,588.0000","21,085.4554","9,885.0000","41,494.0000","21,085.4554","11,196.0000","46,058.0000","21,085.4554","12,670.0000","51,124.0000","21,085.4554","14,313.0000","56,748.0000","21,085.4554","15,834.0000","56,748.0000","21,085.4554","17,938.0000","62,990.0000","21,085.4554","20,280.0000","69,919.0000","21,085.4554","22,888.0000","77,610.0000","21,085.4554","25,790.0000","86,148.0000","21,085.4554","29,017.0000","95,624.0000",0.2522,0.2790
89,"23,686.8954","10,355.0000","44,301.0000","21,101.2666","10,573.0000","44,201.0000","21,101.2666","11,971.0000","49,063.0000","21,101.2666","13,535.0000","54,460.0000","21,101.2666","15,274.0000","60,451.0000","21,101.2666","16,924.0000","60,451.0000","21,101.2666","19,160.0000","67,100.0000","21,101.2666","21,650.0000","74,481.0000","21,101.2666","24,423.0000","82,674.0000","21,101.2666","27,511.0000","91,768.0000","21,101.2666","30,946.0000","101,863.0000",0.2527,0.2800
90,"23,676.7533","11,462.0000","48,344.0000","21,092.2316","11,689.0000","48,234.0000","21,092.2316","13,223.0000","53,540.0000","21,092.2316","14,931.0000","59,430.0000","21,092.2316","16,832.0000","65,967.0000","21,092.2316","18,744.0000","65,967.0000","21,092.2316","21,186.0000","73,223.0000","21,092.2316","23,907.0000","81,278.0000","21,092.2316","26,939.0000","90,218.0000","21,092.2316","30,313.0000","100,142.0000","21,092.2316","34,064.0000","111,158.0000",0.2552,0.2841
91,"23,678.0211","12,668.0000","52,829.0000","21,093.3610","12,906.0000","52,710.0000","21,093.3610","14,578.0000","58,508.0000","21,093.3610","16,440.0000","64,943.0000","21,093.3610","18,513.0000","72,087.0000","21,093.3610","20,688.0000","72,087.0000","21,093.3610","23,358.0000","80,017.0000","21,093.3610","26,334.0000","88,819.0000","21,093.3610","29,650.0000","98,589.0000","21,093.3610","33,340.0000","109,433.0000","21,093.3610","37,439.0000","121,471.0000",0.2568,0.2870
92,"23,676.7533","14,175.0000","58,116.0000","21,092.2316","14,415.0000","57,985.0000","21,092.2316","16,256.0000","64,364.0000","21,092.2316","18,307.0000","71,444.0000","21,092.2316","20,590.0000","79,302.0000","21,092.2316","23,082.0000","79,302.0000","21,092.2316","26,029.0000","88,026.0000","21,092.2316","29,313.0000","97,709.0000","21,092.2316","32,967.0000","108,456.0000","21,092.2316","37,029.0000","120,387.0000","21,092.2316","41,370.0000","133,629.0000",0.2596,0.2911
93,"23,678.0211","15,940.0000","64,543.0000","21,093.3610","16,183.0000","64,397.0000","21,093.3610","18,225.0000","71,481.0000","21,093.3610","20,504.0000","79,344.0000","21,093.3610","23,044.0000","88,071.0000","21,093.3610","25,945.0000","88,071.0000","21,093.3610","29,230.0000","97,759.0000","21,093.3610","32,888.0000","108,513.0000","21,093.3610","36,954.0000","120,449.0000","21,093.3610","41,308.0000","133,698.0000","21,093.3610","46,840.0000","148,405.0000",0.2617,0.2946
94,"23,676.7533","18,026.0000","71,714.0000","21,092.2316","18,269.0000","71,552.0000","21,092.2316","20,549.0000","79,423.0000","21,092.2316","23,095.0000","88,160.0000","21,092.2316","25,935.0000","97,857.0000","21,092.2316","29,302.0000","97,857.0000","21,092.2316","32,968.0000","108,621.0000","21,092.2316","37,039.0000","120,570.0000","21,092.2316","41,416.0000","133,832.0000","21,092.2316","46,956.0000","148,554.0000","21,092.2316","53,275.0000","164,895.0000",0.2650,0.2994
95,"23,678.0211","20,748.0000","81,041.0000","21,093.3610","20,989.0000","80,858.0000","21,093.3610","23,575.0000","89,752.0000","21,093.3610","26,464.0000","99,625.0000","21,093.3610","29,688.0000","110,584.0000","21,093.3610","33,620.0000","110,584.0000","21,093.3610","37,722.0000","122,748.0000","21,093.3610","42,273.0000","136,250.0000","21,093.3610","47,949.0000","151,238.0000","21,093.3610","54,371.0000","167,874.0000","21,093.3610","61,508.0000","186,340.0000",0.2685,0.3040
96,"23,676.7533","24,672.0000","94,645.0000","21,092.2316","24,920.0000","94,431.0000","21,092.2316","27,956.0000","104,819.0000","21,092.2316","31,346.0000","116,349.0000","21,092.2316","35,180.0000","129,147.0000","21,092.2316","39,778.0000","129,147.0000","21,092.2316","44,826.0000","143,353.0000","21,092.2316","50,882.0000","159,122.0000","21,092.2316","57,623.0000","176,626.0000","21,092.2316","65,238.0000","196,054.0000","21,092.2316","73,894.0000","217,620.0000",0.2724,0.3080
97,"23,678.0211","31,333.0000","117,382.0000","21,093.3610","31,595.0000","117,117.0000","21,093.3610","35,477.0000","130,000.0000","21,093.3610","39,942.0000","144,300.0000","21,093.3610","45,009.0000","160,173.0000","21,093.3610","51,276.0000","160,173.0000","21,093.3610","58,061.0000","177,793.0000","21,093.3610","65,764.0000","197,350.0000","21,093.3610","74,396.0000","219,058.0000","21,093.3610","83,885.0000","243,155.0000","21,093.3610","94,267.0000","269,902.0000",0.2810,0.3201
98,"23,676.7533","45,944.0000","165,631.0000","21,092.2316","46,521.0000","165,257.0000","21,092.2316","52,372.0000","183,435.0000","21,092.2316","58,987.0000","203,613.0000","21,092.2316","66,455.0000","226,010.0000","21,092.2316","76,764.0000","226,010.0000","21,092.2316","86,510.0000","250,872.0000","21,092.2316","97,190.0000","278,467.0000","21,092.2316","109,023.0000","309,099.0000","21,092.2316","122,158.0000","343,100.0000","21,092.2316","136,739.0000","380,841.0000",0.2940,0.3396
99,"23,678.0211","151,858.0000","489,192.0000","21,093.3610","152,764.0000","488,087.0000","21,093.3610","170,754.0000","541,777.0000","21,093.3610","190,738.0000","601,372.0000","21,093.3610","212,923.0000","667,523.0000","21,093.3610","241,030.0000","667,523.0000","21,093.3610","268,646.0000","740,951.0000","21,093.3610","299,303.0000","822,456.0000","21,093.3610","333,333.0000","912,926.0000","21,093.3610","371,107.0000","1,013,348.0000","21,093.3610","413,036.0000","1,124,816.0000",0.3190,0.3611
ALL,"2,367,737.4544","543,191.0000","2,523,073.0000","2,109,278.5008","560,941.0000","2,517,377.0000","2,109,278.5008","641,087.0000","2,794,288.0000","2,109,278.5008","731,107.0000","3,101,660.0000","2,109,278.5008","832,061.0000","3,442,843.0000","2,109,278.5008","913,381.0000","3,442,843.0000","2,109,278.5008","1,040,202.0000","3,821,555.0000","2,109,278.5008","1,182,727.0000","4,241,927.0000","2,109,278.5008","1,342,567.0000","4,708,538.0000","2,109,278.5008","1,521,837.0000","5,226,478.0000","2,109,278.5008","1,722,585.0000","5,801,390.0000",0.2417,0.2653
