field_name,long_name,description,itr_ref,notes,row_var,row_label,start_year,cpi_inflatable,cpi_inflated,col_var,col_label,boolean_value,integer_value,value,benchmark,range,min,max,out_of_range_minmsg,out_of_range_maxmsg,out_of_range_action
_rate_footwear_curr_law,VAT for consumption of _rate_footwear_curr_law,VAT for consumption of _rate_footwear_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_footwear_services,VAT for consumption of _rate_footwear_services,VAT for consumption of _rate_footwear_services,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_footwear_services_curr_law,VAT for consumption of _rate_footwear_services_curr_law,VAT for consumption of _rate_footwear_services_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_fuel,VAT for consumption of _rate_fuel,VAT for consumption of _rate_fuel,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.08,0.15,,0,1.0,,,stop
_rate_fuel_curr_law,VAT for consumption of _rate_fuel_curr_law,VAT for consumption of _rate_fuel_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.08,0.15,,0,1.0,,,stop
_rate_fuel_biomass,VAT for consumption of _rate_fuel_biomass,VAT for consumption of _rate_fuel_biomass,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.02,0.15,,0,1.0,,,stop
_rate_fuel_biomass_curr_law,VAT for consumption of _rate_fuel_biomass_curr_law,VAT for consumption of _rate_fuel_biomass_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.02,0.15,,0,1.0,,,stop
_rate_furniture_fixtures,VAT for consumption of _rate_furniture_fixtures,VAT for consumption of _rate_furniture_fixtures,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_furniture_fixtures_curr_law,VAT for consumption of _rate_furniture_fixtures_curr_law,VAT for consumption of _rate_furniture_fixtures_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_health_equipment,VAT for consumption of _rate_health_equipment,VAT for consumption of _rate_health_equipment,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_health_equipment_curr_law,VAT for consumption of _rate_health_equipment_curr_law,VAT for consumption of _rate_health_equipment_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_health_services,VAT for consumption of _rate_health_services,VAT for consumption of _rate_health_services,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_health_services_curr_law,VAT for consumption of _rate_health_services_curr_law,VAT for consumption of _rate_health_services_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_health_services_dental,VAT for consumption of _rate_health_services_dental,VAT for consumption of _rate_health_services_dental,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_health_services_dental_curr_law,VAT for consumption of _rate_health_services_dental_curr_law,VAT for consumption of _rate_health_services_dental_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_health_services_paramedical,VAT for consumption of _rate_health_services_paramedical,VAT for consumption of _rate_health_services_paramedical,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
