,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
current_law_All,543.18,560.94,639.80,729.26,826.26,933.55,1053.07,1186.14,1334.27,1499.01
reform_All,543.18,560.94,639.80,729.26,754.23,865.51,990.91,1131.96,1290.39,1468.03
