Policy Parameter,Year,Value
tbrk1,2027,360000
tbrk2,2027,600000
tbrk3,2027,840000
tbrk4,2027,3000000
tbrk5,2027,6000000
tbrk6,2027,9000000
rate1,2027,0
rate2,2027,0.2
rate3,2027,0.25
rate4,2027,0.3
rate5,2027,0.35
rate6,2027,0.38
rate7,2027,0.4
